,Doc Text,Sentiment
0,despite flaw secretary stay head make question firmly hold position,1
1,much smarter attentive first set,1
2,us respond strongly storytelling computer generate effect new star war installment escape rut dug last one,0
3,really salute writer director haneke adapt elfriede jelinek novel making film nearly graphic much powerful brutally shock difficult watch,1
4,yes ballistic silly unfortunately silly fun unless enjoy really bad movie,0
5,end feel odds rest film,1
6,dull mechanical kinda like goofy museum exhibit,0
7,movie eventual success credit dennis quaid fight trim shape athlete well actor,1
8,breezy divert conventional well act tale two men lock ongoing game cat cat,1
9,freaky scene crew wonder ghost imagine alive sly wink others without become postmodern joke make creepy men sardine warp logic,1
10,edit shot syncopate style mimic work subject pray turn idea documentary head make rouse invigorate fun lack mtv puffery,1
11,longley construct remarkably coherent horrifically vivid snapshot turbulent day,1
12,schaeffer film may work well,1
13,may get full visceral impact ruthless army warpath sense devilish complexity balkan conflict,0
14,inept big screen remake avenger wild wild west,0
15,carvey character overplay exaggerated subtlety never trademark,0
16,difficult discern crazy work disturb genius merely 90 minute post adolescent electra rebellion,0
17,trim 20 minute lavish three year old production enough grandeur scale satisfy grown escapism,1
18,basically pretty dumb,0
19,might 1970s animation everything else straight saturday morning cartoon retread story bad write old silliness,0
20,charm kevin kline story put old fashioned value microscope something creepy movie,0
21,kline utterly convince deeply appeal noble teacher embrace strict moral code flaw human quite live,1
22,movie feel like go great carry feel way long time takeoff never happen,0
23,major waste generic,0
24,powerful though flawed movie guarantee put lump throat reaffirm washington possibly best actor work movie today,1
25,divertingly ridiculous headbangingly noisy,0
26,barbershop good hearted ensemble comedy variety quirky character engage story,1
27,lose politics social observation become another situation romance couple sap stuck inarticulate screenplay,0
28,high concept scenario soon prove preposterous act robotically italicize truth advertising hound take note little hustling view,0
29,element lack pyschological center knock flat,0
30,main story compel enough difficult shrug annoyance chatty fish,1
31,cattaneo reworks formula make full monty smash success neglect add magic make work,0
32,film unhurried pace actually one strength entirely appropriately tale unfolds like lazy summer afternoon conclude crisp clarity fall dawn,1
33,offer much besides glib soullessness raunchy language series brutal set piece raise bar stylize screen violence,0
34,brian de palma utterly mad cinema mad set piece mad style mad beautiful madness,1
35,painfully flat gross comedy,0
36,koury frighteningly honestly expose one teenager uncomfortable class resentment turn self inflict retaliation,1
37,emperor club one film possess good intention world,0
38,think figure bielinsky great game trouble con mark,1
39,disreputable doings exquisite trapping dampen lackluster script substandard performance,0
40,well do film self reflexive philosophical nature,1
41,simple innocent movie imagine movie trust,1
42,frankenstein monster film know want,0
43,different movie sometimes tedious director many viewer would like skip film buff get know,1
44,often watchable though goofy lurid blast costume drama set late 15th century,1
45,play less like come age romance infomercial,0
46,visual spectacle full stunning image effect,1
47,nelson intention good end result justice story horribly depress well do,0
48,almost elaborate dare full blood film,0
49,us high comedy evoke surprising poignance,1
50,tony gayton script give us anything see director j caruso grimy visual veneer kilmer absorb performance increase gravitational pull considerably,1
51,thoughtful visually graceful work,1
52,time existential drama without pretension associate term,1
53,apparently romantic comedy fresh point view figure present hollywood program,0
54,propelled character caricature,0
55,smug oily demeanor donovan adopts throughout stupidly name pipe dream repulsive,0
56,situation joke predictable lowbrow endless pratfall boy take high heel,0
57,salient point simultaneously bury drown smothered excess writer director roger avary,0
58,way believe load junk,0
59,supremely unfunny unentertaining watch middle age old men drink excess piss tree one another put show drag,0
60,like many western action film thriller loud thoroughly overbear heartfelt concern north korea recent past south korea future add much need moral weight,1
61,believe santa claus probably also think sequel never capture magic original well movie prove wrong count,1
62,hey arnold movie happens blow small potato 10 time natural size pretty,0
63,character complex quirky entirely believable remarkable ensemble cast bring life,1
64,make joke car chase hour give us half hour car chase,0
65,picture fascinate byway litter trenchant satirical jab peculiar egocentricities act breed,1
66,extraordinary swedish film soul adventure marriage kind intimate character drive film bille august best,1
67,seagal look like danny aiello day mumble way movie,0
68,get david lynch jones well check one straight twin peak action,1
69,spent screen series go star trek nemesis even suggestive 65th class reunion mixer eight survive member show nothing drink,0
70,cinematic poo,0
71,walk away really know looked like want quite honestly care,0
72,somehow manage escape shackle clichés best espionage picture come week,1
73,could easily become cold calculated exercise postmodern pastiche wind powerful deeply move example melodramatic moviemaking,1
74,blade ii estrogen free movie get might want leave date behind one gon na make feel like owe big time,1
75,benigni star co write seem wonderful time might alone,0
76,big problem satin rouge lilia cipher played actress smile frown reveal inner life,0
77,film contemporary political resonance illustrate win family story,1
78,tremendous piece work,1
79,whenever think figure late marriage throw loop,1
80,sophisticated literate picture usually amuse little catch,1
81,nothing outstanding film good enough likely appreciate sailor folk know way around submarine,1
82,although purportedly study modern alienation really little particularly slant gay fantasy enervate deadeningly draw,0
83,film credit act fresh unselfconscious munch marvel reality versus sappy sentiment,1
84,film enough everything enactment archival footage talk head interview music simply sublime,1
85,cartoon true spirit festival light mr deed frank capra,0
86,bogdanovich tantalize offer peep show live era creme de la celluloid,1
87,chance see three splendid actor turn larky chase movie emotionally satisfy exploration human need somebody belong somebody,1
88,go give marginal thumb like enough,1
89,drawl slobber lovable run sentence film southern gothic emotional arc raw blue soundtrack,1
90,unfortunately appear jackie chan us influence start show hong kong film,1
91,bit thematic meat bone queen damn origin anne rice novel dictate generally movie emphasize style character substance,0
92,schmidt nicholson goofy heartfelt mesmerize king lear,1
93,gangster 1 solid satisfy fare adult,1
94,scene wreaks routine film never manage generate single threat suspense,0
95,grace kind social texture realism would foreign american teen comedy,1
96,film relationship actual tension christmas tree flock spray actual snow poor durable imitation,0
97,much write assembled frankenstein like marginally good shoot em ups,0
98,time funny time candidly reveal intrigue look two performer put love,1
99,whole heartedly recommend everyone see movie historical significance alone,1
100,couple disgracefully write dialogue flail bodily movement substitute act circuit awkwardly pace soap opera ish story,0
101,film essentially meet cute,0
102,hip hop prison thriller stupefy absurdity,0
103,splatter movie probably reasonably good time salton sea,0
104,ub equally spoofs celebrates outre aspect black culture dorkier aspects white culture even point inseparable two,1
105,normal screen process bromide would barely enough sustain interstitial program discovery channel imax 3 clichés disappear vertiginous perspective open photography,1
106,beautiful cold oddly colorful plain otherworldly freaky bit art scare delight image,1
107,enjoyably fast move hard hit documentary,1
108,charm yet poignant tale irrevocable tie bind,1
109,blithely anachronistic slyly achronological,1
110,scattershot affair hit mark brilliant,1
111,seriously bad film seriously warp logic writer director kurt wimmer screenplay level,0
112,instance old dog learn invent remarkable new trick,1
113,end weight water come resemble kind soft core twaddle expect see showtime red shoe diary,0
114,showtime fine look film bouncy score clutch lively songs deft punctuation,1
115,powerful chill affect study one man die fall,1
116,another disjoint fairly predictable psychological thriller,0
117,big giant title open credit elmer bernstein perfectly melodic score haynes get everything right,1
118,exactly be knee,0
119,mentally challenge get fair shot movie business surely collection keen self mutilate sideshow geek,0
120,allegory concern chronically mixed signal african american professional get overachieve could intrigue supernatural trapping obscure message,0
121,manages transcend sex drug show tune plot something far rich,1
122,film show enough creative process even create non fan figure make wilco big deal,0
123,empty shell epic rather real deal,0
124,farcical element seem pat familiar hold interest yet divert grim message good one,1
125,consummate actor barry do excellent work,1
126,fragment film good idea follow bad idea turn movie,0
127,set pre shoot guideline director come actor turn clever well write considerable interest finish film bad sign bad sign,0
128,slapstick labor big setpieces flat,0
129,strange beautiful film,1
130,many miss hit ultimately find humor foible human behavior welcome return root genre depend surprise,1
131,well make generate lot tension,0
132,diane lane sophisticated performance rescue adrian lyne unfaithful sleazy moralizing,0
133,get enough libidinous young city dweller try obscenely bad dark comedy crass make edward burn sidewalks new york look like oscar wilde,0
134,movie less charitable might describe castrate cross highlander lolita,0
135,result tame even slightly wised kid would quickly change channel,0
136,oscar wilde masterpiece importance earnest may best play 19th century good relentless polish wit withstand inept school production even oliver parker movie adaptation,1
137,three actress simply dazzle particularly balk finally give part worthy considerable talent,1
138,actually sincere crime movie equivalent chick flick,0
139,simone fun funky look artificial creation world thrive artificiality,1
140,movie explore religion disappoint see one reduce idea fit sampler,0
141,unnerve see recoing bizzarre reaction unemployment good film glum,1
142,poignant familiar story young person suspend two culture,1
143,action adventure space base homage robert louis stevenson treasure island fire plasma conduit,1
144,know sense humor lot warmth ignite son bride,1
145,dominant christine sylvie testud icily brilliant,1
146,refreshingly realistic affectation free come age tale,1
147,evokes frustration awkwardness euphoria grow without rely usual trope,1
148,chill objective portrait dreary lose twenty first century america,1
149,colorful vibrant introduction universal human impulse lushly photograph beautifully record,1
150,mothman prophecy difficult film shake conscience night fall,1
151,shaky close ups turkey roll stubbly chin liver spot red nose filmmaker new bob draw easy chuckle lead nowhere,0
152,wish windtalker faith dramatic potential true story would better fiction concoct still could room war scene,0
153,film take long get good stuff take long figuring next,0
154,visually sumptuous intellectually stultify,0
155,assayas ambitious sometimes beautiful adaptation jacques chardonne novel,1
156,movie necessity lack fellowship heart two tower outdoes spectacle,1
157,succeed provide disquiet world long dreaded completion police academy series,0
158,provide nail bite suspense credible character without rely technology moment technique pretentious dialogue,1
159,charles entertain film chronicle seinfeld return stand comedy wrap legendary sitcom alongside wannabe comic adam attempt get shot big time,1
160,plot meander grip plod back,0
161,brilliant brutal uk crime film since jack carter go back newcastle first half gangster 1 drip style time blood,1
162,disaster exactly handsomely produce let,0
163,bland outweigh nifty cletis tout never become clever crime comedy think,0
164,dramatic crisis always succeed quest take seriously huppert volatile performance make rivet movie experience,1
165,soggy shapeless mess dumb excuse waterlogged equivalent haunt house movie,0
166,stupid ill conceive badly draw create whole new level ugly,0
167,cliche escape perfervid treatment gang warfare call ce wild,0
168,open scene clear benjamin totally formulaic movie,0
169,sensitive modest comic tragedy work character study symbolic examination huge economic change sweep modern china,1
170,dialogue make want pack raw dough ear,0
171,antwone fisher certainly trick make us care protagonist celebrate victory exception rarely stoop cheap manipulation corny convention,1
172,cq may one day fondly remember roman coppola brief pretentious period go film actually tell story worth care,0
173,character get depressed story get tiresome especially continue mount conspicuous effort profound,0
174,strong filmmaking require clear sense purpose oh important category four feather come short,0
175,sophisticated viewer refuse admit like likely call challenge fellow sophisticate,0
176,good natured ensemble comedy try hard make bumper cast never quite get ground,0
177,amuse need,1
178,perhaps even slc high command find writer director mitch davis wall kitsch hard go,0
179,definitely make kid parent matter think even fan sandler comic taste may find uninteresting,0
180,rifkin doubt fancy something hubert selby jr ounce honest poetry entire script simply crude unrelentingly exploitative,0
181,nicole holofcener lovely amazing screenplay jump head class woman film manage avoid ghetto sentimental chick flick treat female folly satirical style,1
182,likely expertly drum repressed teenage memory viewer,1
183,kinnear aim sympathy rather delivers performance strike skill depth,1
184,prove female director make movie soft edge kathryn bigelow offer sugar coat interlude lightness film unrelentingly claustrophobic unpleasant,1
185,obvious,0
186,yet another weepy southern bore athon,0
187,new film much eye catch blood drench stephen norrington direct predecessor new script return david goyer much silly,0
188,everything yvan charlotte everything yvan rambunctious jewish sister non jew husband feel funny true,1
189,child christian otherwise deserve hear full story jonah despair agonize catch 22 glory even spend year try comprehend,0
190,heel ring come similarly morose humorless horror movie although flaw commend straight ahead approach creepiness,1
191,salma go native never well colorful bio pic mexican icon,1
192,powerful success read lip provocative material show three film director co writer jacques audiard though little known country belong top rank french filmmaker,1
193,might first sci fi comedy could benefit three company style laugh track,0
194,absurdist spider web,1
195,exhilarate serve movie fluff,1
196,zhang would make strainingly cute film blind orphan center less indicates ambition wander,0
197,quiet treasure film savor,1
198,familiar predictable 4 5ths might well come xerox machine rather writer director franc reyes word processor,0
199,screenwriter dan schneider director shawn levy substitute volume primary color humor bite,0
200,harsh work piece storytelling intellectual exercise unpleasant debate give drive narrative act believer nothing less provocative piece work,1
201,mark wahlberg may look classy 60s homage pokepie hat character dry dry dry,0
202,devotee star trek ii wrath khan feel nagging sense deja vu grandeur best next generation episode lack,1
203,new movie version alexandre dumas classic stuff high romance bring considerable wit,1
204,flaw also stretch impact moment awe wrapped character make choice,1
205,sayles knack cast often resurrect performer rarely work movie draw flavorful performance bland actor,1
206,got house full tot worry video long grow wait till,0
207,one scene another supposedly funny movie fall floor sicken thud,0
208,nearly good influence,0
209,distance picture provide satisfyingly unsettling ride dark place national psyche,1
210,suffers lack compel comprehensible narrative still visual treat film almost unsurpassed,1
211,minor league soccer remake long yard,0
212,home movie film equivalent lovingly render coffee table book,1
213,post september 11 sum fear seem tacky reprehensible manipulate collective fear without bestow subject intelligence sincerity unequivocally deserve,0
214,staggeringly unoriginal term gender bend comedy generally quite funny,1
215,confuse drudgery,0
216,mandel holland direction uninspired script unsurprising performance phifer black ultimately win find wish another movie,0
217,pretty school special effort watch movie eventually pay effective stick,1
218,malone gift generate nightmarish image hard burn brain movie narrative hook way muddle effectively chill guilty pleasure,0
219,heartbreakingly thoughtful minor classic work genuine singular artist,1
220,full detail man country well worth see,1
221,end punch drunk love one film want like much actually sometimes enough,1
222,visual delight decent popcorn adventure long try look deep story,1
223,get familiar bruckheimer element schumacher probably good job anyone bring hopkins rock collision act style onscreen persona,1
224,old form moviemaking best,1
225,pocas idea interesantes un final pseudo místico que corresponde al tono general del filme que deja una sensación de inconformidad que hace pensar más de una vez si vale la pena ir la taquilla reclamar el precio del boleto,0
226,despite bear paramount imprint bargain basement european pickup hard understand anybody pick wise soul would tactfully pretend see leave lie,0
227,like blood gut crazy beast stalk men gun though likely enjoy monster,1
228,restrain ribisi convinces italian though ever movie need one actor whiny jag pump among rare one,0
229,gift anyone love dance cinema,1
230,offer big fat dumb laugh may make hate give ah hell,1
231,writer director otar iosseliani pleasant tale factory worker escape holiday venice reveals need playful respite grind refresh soul,1
232,henry bean thoughtful screenplay provide easy answer offer compel investigation faith versus intellect,1
233,though book run 300 page densely pack even ambitious adaptation elaborate production like mr schepisi seem skimpy unclear,0
234,none happily ever spangle monsoon wed late marriage part make dover kosashvili outstanding feature debut potent,1
235,realize matter fantastic reign fire look story making sense,0
236,hardly masterpiece introduces viewer good charitable enterprise interesting real people,1
237,title trap turn pretty fair description feel watch ultra manipulative thriller,0
238,right movie frame mind may scare pant,1
239,either willing go claustrophobic concept,1
240,high crime steal freely movie combine enough disparate type film help engage audience,1
241,strong first quarter slightly less second quarter average second half,0
242,well craft film remarkable achieve emotional power moment revelation restraint delicate ambiguity,1
243,serve sara serve whole lot laugh,0
244,enough trivializes important crisis reduces almost comic embarrassment,0
245,sugar coat rocky whose valuable message forget 10 minute last trombone honk,0
246,delightful little film revel simplicity mostly martha leave smile face grumble stomach,1
247,know never listen marvin gaye supremes way,1
248,eight crazy night showcase sandler many talent,1
249,manages somewhat well act badly art direct utterly unengaging matter hard try thrill touch yikes uproarious,0
250,fill alexandre desplat haunting sublime music movie completely transfixes audience,1
251,little elaborate conceit set blood soak tragedy murderous ambition era richard nixon,0
252,almost peerlessly unsettling,1
253,even interest gang infest east vs west coast rap war modern mob music drama never fail fascinate,1
254,best enjoy work fiction inspire real life event seek definitive account eisenstein life would better elsewhere,1
255,earnest debut full heartfelt performance ultimately let story predictable,0
256,absolutely amaze first time director kevin donovan manage find something new add canon chan make chan action sequence bore,0
257,although include fair share dumb drug joke predictable slapstick orange county far funny would seem right,1
258,time machine movie interest believe sense humor plain bore,0
259,k 19 stay afloat decent drama action flick,1
260,say lot filmmaker wacky without clobber audience head still maintain sense urgency suspense,1
261,tough black man america especially man take away car work hour deny health insurance,0
262,well go forever,0
263,good job establish time place tell fascinating character story,1
264,halfway picture begin hate course feel guilty miracle miracle movie flip flop,0
265,ahhhh revenge sweet,1
266,time beautiful film watch interest time captivate take loss loneliness,1
267,visual panache compel support character heart film rest relationship sullivan son,1
268,get past fantastical aspect harsh reality isle get sock eye flick visual tour de force story unlike likely see anywhere else,1
269,pep talk faith hope charity little offend saccharine earnestness crime film producer would clink life,0
270,film suffers many excess,0
271,hour make examine life much way character experience profound hour movie suppose,1
272,unwise amalgam broadcast news vibe,0
273,verbally flatfooted emotionally predictable bland play like standard make tv movie,0
274,weak four harry potter book transform strong two film thinnest margin,1
275,though overall overwhelmingly positive portrayal film ignore problematic aspect brown life,1
276,one big blustery movie nothing really happen come video perfect cure insomnia,0
277,expectation laughter quash whatever obscenity hand even funny idea funny,0
278,fester dungpile swear watch monkey fling feces,0
279,disturb examination appear definition bad police shoot,1
280,film destine win wide summer audience word mouth review far line find place among studio animate classic,1
281,obviously extremely personal work remain inextricably stick emotionally unavailable rut,0
282,puerile men dominate story woman shine,1
283,young gun meet goodfellas easily skippable hayseed vs greaseball mob action comedy,0
284,filmmaker ivan prince fellow come across shallow glib though mean spirited indication responsible put together movie particular value merit,0
285,like script nurse plot hole gap enough pilot entire olympic swim team character swimfan seem motivate nothing short dull brain deadening hangover,0
286,change lane anomaly hollywood movie well write occasionally challenge social drama actually something interesting say,1
287,taymor utilizes idea make kahlo art live breathe part movie often catapult artist work new idea do never vividly much passion,1
288,sometimes incisive sensitive portrait undercut awkward structure final veering toward melodrama,0
289,rather watch rerun powerpuff girl,1
290,cut room floor somewhere lie footage might make thing trenchant ironic cultural satire instead frustrating misfire,0
291,munch screenplay tenderly observant character watch float within seas personality scene short often unexpected,1
292,rabbit proof fence noyce tailor epic tale lean economical movie,1
293,stephen earnhart homespun documentary mule skinner blue nothing love posse trailer park denizen,1
294,plot number hole time simply baffle,0
295,pumpkin strut courage pin huckster lapel yellow streak mile wide decorate back,0
296,john mctiernan botch remake may subtler norman jewison 1975 ultraviolent futuristic corporate sport saga also stupider,0
297,objectionable dull film merely lack everything except good intention,0
298,story forgive little thin filmmaking clumsy rush,0
299,brilliant absurd collection vignette idiosyncratic way sum strange horror life new millennium,1
300,character still need function accord set believable comprehensible impulse matter many drug much artistic license avary employ,0
301,one herzog least inspire work,1
302,combine quick cut edit blare heavy metal much time beck seem illusion shoot late system video,0
303,eternally devote insanity black intermittently good time feel free go get popcorn whenever onscreen,0
304,real triumph igby come philippe make oliver far interesting character line would suggest sarandon well cruel weirdly likable wasp matron,1
305,andersson create world surreal disturbingly familiar absurd yet tremendously sad,1
306,central character complex enough hold interest,0
307,ya yas everywhere forgive flaw love film,1
308,plot kick film lose credibility,0
309,sum jack ryan give credit everyone robinson key grip bold move work especially give credit affleck,1
310,excite direct ghost imagery show enough keep us toe,1
311,great terrible story mr nelson make film undeniably worthy devastate experience,1
312,grant cary bullock katherine,0
313,personal velocity frill docu dogma plainness yet miller lingers invisible nearly psychic nuance leap digression memory desire box woman souls right open us,1
314,mess screenplay much meander norton recite bland police procedural detail fiennes wanders around attempt seem weird distance hopkins look like drag queen,0
315,thanks haynes absolute control film mood buoy three terrific performance far heaven actually pull stylistic juggling act,1
316,shaky plot kaufman script still memorable great one liner,1
317,go rail final 10 15 minute wendigo larry fessenden spooky new thriller refreshingly smart newfangled variation several theme derive far less sophisticated knowing horror film,1
318,intellectually scary dramatically involve,0
319,wiseman reveal victim domestic abuse pity terror,1
320,curling may unique sport men broom distinctly ordinary,0
321,brutally honest told humor poignancy make message resonate,1
322,sour nasty offering,0
323,importance earnest offer opportunity occasional smile chuckle give us reason theater beyond wilde wit actor performance,0
324,greatness,1
325,sham construct base theory sleight hand ill work hypothesis,0
326,exactly expect,0
327,unmistakable easy joie de vivre,1
328,bearable barely,0
329,give fact virtually one bound show theatres project make tube,0
330,little question serious work important director something new say flip flop courtship often reel play,1
331,vividly conveys passion creativity fearlessness one mexico colorful controversial artist captivate drama speak nonconformist us,1
332,like title character nicholas nickleby find reduced circumstance also like hero remain brightly optimistic come end,1
333,forget misleading title unexplained baboon cameo,0
334,combination standard stiff tv style animation snazzy look digital effect little disguise fact character barely move,0
335,cast von sydow intacto lucky stroke,1
336,see bad singer turn actor lil bow wow take cake,0
337,much look metropolis hate tear eye away image long enough read subtitle,1
338,engross story combine psychological drama sociological reflection high octane thriller,1
339,scene scene thing happen hard press say,0
340,movie appear run hypertime reverse truly funny bit get apart,0
341,lyrical metaphor cultural personal self discovery picaresque view little remember world,1
342,book tape market film kid stay picture would abridge edition,0
343,even madonna sweep away blue lagoon,0
344,assure vital well wrought film arguably accomplish work date hong kong versatile stanley kwan,1
345,seriousness high literary aspiration stun act film applaud,1
346,meaty deeper begin end would easily tip film range strong love robust middle picture,1
347,dash absorb out one france inventive director,1
348,maid manhattan might look appeal third fourth view road high concept vehicle two bright star moment rise fan lofty expectation movie pass inspection,1
349,comedy funny action movie thrill uneasy alliance,0
350,although start bad feel like run scream eventually work way merely bad rather painfully awful,0
351,hopkins much phone performance fax even commit get secretary fax,0
352,nowhere kid appropriate turf find become self make celebrity athlete low version american dream,1
353,one strictly lightweight escapist film,1
354,much anyone florid overplotted anne rice rock roll vampire novel build silliness whole affair defeat,0
355,basic premise intriguing quickly become distasteful downright creepy,0
356,part stevens glide solid performance witty dialogue,1
357,choppy edit annoy score special effect way replace object character hand camera line besotted misbegotten,0
358,leigh make life count allow gawky actor like spall could easily become comic relief film reveal impressively delicate range,1
359,hard care film propose epic tragedy plight callow rich boy force choose beautiful self satisfy 22 year old girlfriend equally beautiful self satisfy 18 year old mistress,0
360,thoughtful surprisingly affect portrait screw man dare mess powerful people see eye idealistic kid choose champion ultimately lose cause,1
361,socio histo political treatise tell earnest stride personal illusion deconstruct poignancy,1
362,lax limp comedy see meander wear material,0
363,single digit kidlets stuart little 2 still brainer look rekindle magic first film need strong stomach us,0
364,possession base book byatt demand labute deal subject love head trading cynicism reverence little wit,1
365,execution clever idea far less funny original killer space,0
366,sober affect chronicle level effect loss,1
367,seriously rent disney version,0
368,director benoit jacquot make first opera film translation tosca conveys heave passion puccini famous love jealousy murder suicide fandango great cinematic innovation,1
369,best movie kind since brazil lucas take note use special effect,1
370,local get kick spotting cleveland sit rest world enjoy fast pace comedy quirk might make award win coen brother envious,1
371,thing give movie point bravado take entirely stale concept push audience meat grinder one time,0
372,chateau one funny joke decent one amount mildly funny sometimes tedious ultimately insignificant film,0
373,bore formulaic mix serial killer stalk slash,0
374,exactly expect guy name kaos,0
375,pride sophisticated discern taste might seem like proper cup tea however almost guarantee even stuffy cinema goer laugh hour half,1
376,movie avalanche eye pop visual effect,1
377,asks truth discern non firsthand experience specifically question cinema capability record truth,1
378,testament film considerable charm succeed entertain despite play like feature length sitcom replete stereotypical familial quandary sheer unbridled delight way story unfurls,1
379,name allegedly inspire easily marketable flick emperor club turn blind eye history pretend teach,0
380,perfectly respectable perfectly inoffensive easily forgettable film,1
381,triumph love silly movie silliness pedigree,1
382,predominantly amateur cast painful watch stilted unconvincing performance,0
383,aaliyah rarely dampen diva persona enough spark genuine chemistry townsend speak creepy egyptian demigod voice computer process overproduced music,0
384,never inspires interested detachment,0
385,barney idea creation identity really seem profound least way glean three hour endurance test build around hour worth actual material,0
386,one trick pony whose bit still save unoriginal unfunny unrecommendable,0
387,tres greek writer star nia vardalos craft worldly wise funny script,1
388,good predecessor may rate magical fun family fare recent holiday season,1
389,dramatically lackluster,0
390,spy kid 2 island lose dream however robert rodriguez adorns family film plot elegance maturity even contemporary adult movie lack,1
391,story could expand worked compel single feature current incarnation storytelling never quite get rather lopsided conception,0
392,buy accomplished actress big juicy role,1
393,cast high time de broca little enthusiasm antique pulp,0
394,spread thin leave actor well member commune short profound characterization,0
395,charm quirk dull spot,0
396,far beneath surface reconfigured tale asks disturb question thing expect military epic,1
397,100 year old mystery constantly interrupt elizabeth hurley bathing suit,0
398,director chris wedge screenwriter michael berg michael wilson peter ackerman create episode rival vintage looney tune creative mayhem brief amount time,1
399,friday worth wait,0
400,watch film like read time portrait grief keep shift focus journalist write,0
