,Doc Text,Sentiment
0,film try touch spousal abuse veers course become another revenge film,0
1,affleck merely create outline role still need grow role ford effortlessly fill authority,0
2,make esther kahn demand progress low key manner risk monotony worth concentration,1
3,film bright flashy right way,1
4,far gloss still feel director denis villeneuve beat heart fondness character,1
5,kinda work qualifies cool time lame work cool others,0
6,light silly photograph colour depth rather good time,1
7,though clearly well intentioned cross cultural soap opera painfully formulaic stilted,0
8,shot rich shadowy black white devil chronicle increasingly amuse irony relationship reluctant captor befuddle captive,1
9,manipulative claptrap period piece movie week plain old blarney take pick three description suit evelyn besotted obvious drama tell us nothing new,0
10,unfortunately experience actually watch movie less compelling circumstance make,0
11,one entertain monster movie age,1
12,green comedy equivalent saddam hussein ready go n ask permission preemptive strike,0
13,grown tire go man go several movie take heart best star trek movie long time,1
14,completely creatively stillborn execute manner sure could single iota bad soulless hunk exploitative garbage,0
15,strong subject matter continue shock throughout film everyone play dark challenge tune taught piano teacher,1
16,lack depth,0
17,spider man grow strange hair get mature body find necessary hide new secretion parental unit,1
18,direct story disjoint flaw laid squarely taylor doorstep actor make worth peek,1
19,non britney person might survive screen little harm do except maybe last 15 minute maudlin school special imagine,0
20,get look period trapping right otherwise drown sea visual verbal clichés,0
21,may dramatic gut wrench impact holocaust film compel story mainly way tell people,1
22,character force overwritten funny believable much time clayburgh always improve top mix,0
23,always something likable marquis de sade,1
24,secret time travel discover indulge rejected boring see piece crap,0
25,alice adventure look glass zombie land fill strange wonderful creature,1
26,plot maddeningly insistent repetitive piano score make want scream,0
27,see wheel turn might resent sometimes still nice little picture make bright friendly soul lot good cheer,1
28,though important political documentary really make case kissinger tried war criminal,1
29,movie plain awful still manage entertain guilty pleasure bad funny level,1
30,herzog obviously look moral fable notion strong unified showing among germany eastern european jew might change 20th century history undermine ahola inadequate performance,0
31,83 minute document project start muddle seesaw back forth control interest multiple time find sweet spot,1
32,relentless bombastic ultimately empty world war ii action flick,0
33,glorious mess,1
34,come age tale new zealand whose boozy languid air balance rich visual clarity deeply felt performance across board,1
35,blade ii merge bit piece fight game wire fu horror movie mystery james bond wrestling sci fi anime one big bloody stew,1
36,help remind first world hiv aid far yesterday news,1
37,people know subtle characterization put giant furry monster costume give lapdance,0
38,real life strongman ahola lack charisma ability carry film admittedly broad shoulder,0
39,amuse three minute,0
40,end computerized yoda finally reveal martial artistry film ascend kinetic life teem even cranky adult may rediscover quiver kid inside,1
41,fiendishly cunning even jade cinema audience leave auditorium feeling dizzy confuse totally disorientated mention absolutely refresh,1
42,attal push hard make comedy serious drama seem want succeed make neither,0
43,secretary original ignore,1
44,doubt peter fallon original bone body rumor angel dispel,0
45,wildly funny prison caper,1
46,borrows many literary cinematic source future world feel absolutely deja vu,0
47,every cheesy scene though really cool bit movie conception future world holographic librarian orlando jones know everything answer question visually smart cleverly write nicely realize,1
48,actor steal scene tom green give bad odor self infatuate goofball far thing wrong clumsy comedy steal harvard obvious one,0
49,go long bogs surfeit character unnecessary subplots,0
50,completely awful iranian drama much fun grouchy ayatollah cold mosque,0
51,big crowdpleaser possibly come,1
52,impressive craftsmanship despite overbear series third act crescendo lily chou chou never really builds head emotional steam,0
53,film start competent unremarkable gradually grow something considerable power,1
54,come silly surprised ba murdock rest team see give chase black red van,0
55,washington strong hand keen eye sweet spirit good taste reflect almost every scene,1
56,simple tale unlikely friendship thanks gorgeous locale exceptional lead performance considerable charm,1
57,end sort love people onscreen even though could stand perhaps film see conversation starter easy one review,0
58,bond film go beaten path necessarily well,0
59,premise overshadow uberviolence clericks become another kung fu sci fi movie silly action sequence,0
60,washington overcome script flaw envelop audience character anguish anger frustration,1
61,impressive debut first time writer director mark romanek especially consider background music video,1
62,mr deed sure give lot laugh simple sweet romantic comedy,1
63,maudlin way story unfolds suggest director fight urge sensationalize material,0
64,kurys seem intimidate subject matter period trapping debut venture heritage business,0
65,anchor friel williams exceptional performance film power lie complexity nothing black white,1
66,salton sea moment inspire humour though every scrap dark variety,1
67,eyre way become american indian spike lee,1
68,savvy director robert siegel co writer keep story subtle us suspense,1
69,flaccid drama exasperatingly slow journey,0
70,like leon frustrating still oddly likable,1
71,right track something creepy effective go take man bullwinkle costume get,0
72,stupid annoy,0
73,compel allegory last day germany democratic weimar republic,1
74,baran transport grip film iran indeed director worthy companion many fine focus film emerge surprising nation,1
75,wallace get bit heavy hand message time visual flair wax poetic far much taste,0
76,pocas idea interesantes un final pseudo místico que corresponde al tono general del filme que deja una sensación de inconformidad que hace pensar más de una vez si vale la pena ir la taquilla reclamar el precio del boleto,0
77,frustrate combination strain humor heavy hand sentimentality,0
78,film benefit greatly less manic tone predecessor cho appear settle comfortably skin,1
79,whenever threaten get bogged earnest dramaturgy stir visual sequence like surge swirl rapid leap pinnacle pinnacle rouse us horse could fly surely look like,1
80,live testament power eccentric strange fact good almost beside point,0
81,compel story musical passion governmental odds,1
82,complex psychological drama father return son home decade away,1
83,sound sick twisted miracle shainberg film truly romance,1
84,unimaginative nasty glibly cynical piece work,0
85,may undeserving victim critical overkill since town country,1
86,although german cook come readily mind consider world best cuisine mostly martha could make deutchland popular destination hungry tourist,1
87,exploit headbanger stereotype good fun add bit heart unsettle subject matter,1
88,mistake fact hybrid miss impact disney classic even excellent 1934 mgm version,0
89,deceivingly simple film one grow power retrospect,1
90,equal part bodice ripper plod costume drama,0
91,behind glitz hollywood sordid disgust quelle surprise,0
92,movie brilliant really philosophy illustrated everyday event,1
93,demeo without talent need well material,0
94,entertain ultimately minor thriller,1
95,line feel like long soliloquy even frame conversation max static stilted,0
96,day beach air condition popcorn,1
97,live action cartoon fast move cheerfully simplistic 88 minute exaggerated action put together preteen boy mind,0
98,start 1950 doris day feel get ugly fast first five minute talk til end year,1
99,effective portrait life stasis power inertia arrest development dead end existence,1
100,charm funny movie,1
101,instead hide pinocchio critic miramax hide everyone,0
102,cox far concerned aggrandize madness man result might drive crazy,0
103,familiar tale one tell countless filmmaker italian chinese irish latin indian russian hyphenate american young men struggle balance conflict cultural message,0
104,full cheesy dialogue great trashy fun finally return de palma pulpy thriller early 80s,1
105,plotline lumpy two day old porridge filmmaker paw sad say un bear able project,0
106,audience feel exhaustion watch movie dark dark green exact sour bloody mean,0
107,bust gut intend merely blandly cinematic surgical examination make joke joke,1
108,fine job engulf world ally character choice good ill shortcoming remember afterthought,1
109,like invite classy dinner soiree know anyone leave way come tasty morsel belt new friend,0
110,mothman prophecy best illustrate demon bedevil modern masculine journey,1
111,jolie performance vanishes somewhere hair lip,0
112,even valiantly struggle remain interested least conscious could feel eyelid get heavy,0
113,fight scene fun grow tedious,0
114,overly melodramatic,0
115,taste film comic character come perilously close amos andys new generation,0
116,story congeals feel piece star war saga fall place way make spine tingle revelation excitement,1
117,perhaps gross movie ever make funny though,1
118,actor must indeed good recite laughable dialogue straight face,0
119,tightly direct highly professional film old fashion best possible way,1
120,malone gift generate nightmarish image hard burn brain movie narrative hook way muddle effectively chill guilty pleasure,0
121,bet video game lot fun film,0
122,watch end often like look outdated clothes plastic knickknack neighbor garage sale believe anyone would really buy stuff,0
123,recent favourite sundance white trash satire inspire affection even unlucky people never own cassette def leppard pyromania,1
124,moderately involve despite bargain basement photography hackneyed romance,0
125,twisty moody slice southern gothic,1
126,case sacre bleu magnifique,0
127,director george hickenlooper success documentary sense story juvenile camera movement smack film school undergrad maudlin end might get film school first place,0
128,difficult worthy film bite chew link massacre armenian 1915 difficult relationship present,1
129,amuse provoke adventurous adult specialty venue,1
130,fincher take apparent joy make movie give none audience,0
